code,describe
023,森林经营和管护指为促进林木生长发育，在林木生长的不同时期进行的促进林木生长发育的活动。包括对下列森林经营和管护的活动：—对人工的和天然的幼龄林、中龄林、近熟林和成熟林进行的各种抚育和管理活动（如对林木的中耕、松土、培土、除草、补植、灌溉、间伐、抚育采伐、修枝、人工施肥等活动）；—其他林木抚育管理服务。
024,木材和竹材采运指对林木和竹木的采伐，并将其运出山场至贮木场的生产活动。木材采运指林木砍伐，对伐倒林木的简单加工活动（如林木的去枝、打叶、造材），与木材采伐相关的运输活动，以及砍伐林木的堆放、涂抹杀虫剂和防腐处理等活动。包括对下列木材的采运活动：—针叶原木：红松原木、樟子松原木、白松（云杉和冷杉）原木、辐射松原木、落叶松原木、马尾松原木、云南松原木、杉木原条、其他针叶原木；—非针叶原木：栎木（橡木）原木、山毛榉木原木、楠木原木、樟木原木、泡桐木原木、杨树原木、水曲柳原木、胡桃楸原木、柞木原木、桦木原木、榆木原木、柳木原木、椴木原木、桉树原木、其他非针叶原木；—小规格木材：针叶木小规格木材、其他木小规格木材；—薪材；—短条及细枝等。不包括：—独立的木材运输活动，列入G（交通运输、仓储和邮政业）的相关行业类别中；—木材的加工，列入（木材加工和木、竹、藤、棕、草制品业）的相关行业类别中。竹材采运指竹材砍伐，对竹材简单加工等活动（如竹材的去枝、打叶、切割等），与竹材采伐相关的运输活动，以及竹材的堆放、贮存、涂抹杀虫剂和防腐处理等活动。包括对下列竹材的采运活动：—砍伐的竹材：毛竹、撑蒿竹、水竹、淡竹、慈竹、红壳竹、其他竹材；—林区竹材运输服务；—其他竹材采伐产品。不包括：—独立的竹材运输活动，列入G（交通运输、仓储和邮政业）的相关行业类别中；—竹材的加工，列入（木材加工和木、竹、藤、棕、草制品业）的相关行业类别中。
025,林产品采集指在天然林地和人工林地进行的各种林木产品和其他野生植物的采集等活动。木竹材林产品采集指在天然森林和人工林地进行的各种林木产品和其他野生植物的采集活动。包括对下列木竹材林产品的采集活动：—木竹编结用原料：藤条、柳条、柠条、荆条、桑条；—木竹野生植物活体：野生乔木、野生灌木、野生藤木、野生菌类。非木竹材林产品采集指在天然林地和人工林地进行的除木材、竹材产品外的其他各种林产品的采集活动。包括对下列非木竹材林产品的采集活动：—天然橡胶：天然橡胶乳、烟胶片、胶清片、白皱片、褐胶片、标准胶片、其他天然橡胶；—天然树脂、树胶：天然生漆、天然松脂、虫胶、桃胶、冷杉胶、其他天然树脂、树胶；—栲胶原料：落叶松树皮、杨梅树皮、油柑树皮、檞树皮、木麻黄树皮、黑荆树皮、橡碗、化香果、其他栲胶原料；—非直接食用果类：油桐籽、油茶籽、沙棘果、乌桕子、文冠果、山苍籽、黑椋子、麻风树果（小桐子）、黄连木果、光皮梾（光皮树）果、其他非直接食用果类；—非木竹编结用原料：灯心草、菖蒲、葵叶、其他编织用原料；—染色、鞣革用植物原料：五倍子、地衣、蓝靛、薯茛、其他染色、鞣革用植物原料；—非木竹野生植物活体：野生蕨菜、野生发菜、野生薇菜、野生锁阳、其他野生植物活体；—野生植物采集产品：野生植物根、野生植物茎、野生植物叶、野生植物花、野生植物果实、其他野生植物采集产品；—其他林产品：未加工天然软木、棕片、竹笋干、黄柏桕、山苍子、桉树叶、其他未列明林产品。不包括：—咖啡、可可等饮料作物的采集，列入（香料作物种植）。
031,牲畜饲养牛的饲养包括对下列牛的饲养活动：—牛：种牛、黄牛、水牛、奶牛、牦牛、牛犊、能繁殖母牛、其他牛；—生牛奶；—同一农（牧）场或农户生产加工的生牛奶以及奶酪、黄油等；—同一农（牧）场或农户生产加工的牛毛；—牦牛毛（牦牛绒）。马的饲养包括对下列马的饲养活动：—马：种马、马驹、其他马；—马毛：马鬃、马尾、其他马毛；—生马奶；—同一农（牧）场或农户生产加工的生马奶；—同一农（牧）场或农户生产加工的马毛；—整张生马皮。猪的饲养包括对下列猪的饲养活动：—猪：种猪、仔猪、中猪、能繁殖母猪、其他猪；—生皮（部分）：整张生猪皮；—猪鬃。羊的饲养包括对下列羊的饲养活动：—绵羊：细毛羊、半细毛羊、种绵羊、能繁殖母绵羊、其他绵羊；—山羊：种山羊、奶山羊、种绒山羊、绒山羊、能繁殖母山羊、其他山羊；—能繁殖母羊；—羔羊；—绵羊毛（部分）：细羊毛、半细羊毛、剪羊毛；—山羊绒；—整张羔羊生毛皮；—制刷用山羊毛；—同一农（牧）场或农户生产加工的生羊奶；—同一农（牧）场或农户生产加工的绵羊毛、山羊毛、制刷用山羊毛，以及羔羊整张毛皮。骆驼饲养包括对下列骆驼的饲养活动：—骆驼；—骆驼毛：骆驼粗毛、骆驼绒；—同一农（牧）场或农户生产加工的骆驼毛。其他牲畜饲养包括对下列牲畜的饲养活动：—驴：种驴、其他驴；—骡；—其他活牲畜；—同一农（牧）场或农户生产加工的其他牲畜毛。
032,家禽饲养鸡的饲养包括对下列鸡的饲养活动：—蛋鸡：种蛋鸡、其他蛋鸡；—雏鸡：种雏鸡、其他雏鸡；—肉鸡：种肉鸡、其他肉鸡；—其他活鸡：其他种用活鸡、其他未列明活鸡；—鸡蛋：种用鸡蛋、其他鲜鸡蛋。不包括：—火鸡、珍珠鸡等饲养，列入（其他家禽饲养）；—山鸡的饲养，列入（其他畜牧业）。鸭的饲养包括对下列鸭的饲养活动：—雏鸭：种用雏鸭、其他雏鸭；—成鸭：种用成鸭、其他成鸭；—鸭蛋：种用鸭蛋、其他鲜鸭蛋。鹅的饲养包括对下列鹅的饲养活动：—雏鹅：种用雏鹅、其他雏鹅；—成鹅：种用成鹅、其他成鹅；—鹅蛋：种用鹅蛋、其他鲜鹅蛋。其他家禽饲养包括对下列家禽的饲养活动：—活火鸡：雏火鸡（种用雏火鸡、其他雏火鸡）、成火鸡（种用成火鸡、其他成火鸡）；—活珍珠鸡：雏珍珠鸡（种用雏珍珠鸡、其他雏珍珠鸡）、成珍珠鸡（种用成珍珠鸡、其他成珍珠鸡）；—其他活家禽：鸽子、鸵鸟、野鸭、鹌鹑、其他未列明活家禽；—禽蛋（部分）：鹌鹑蛋（种用鹌鹑蛋、其他鲜鹌鹑蛋）、其他禽蛋。不包括：—鸟类的饲养，列入（其他畜牧业）；—孔雀等的饲养，列入（其他畜牧业）。
033,狩猎和捕捉动物包括农户、牧民、农（牧）场、合作社、其他农业（畜牧）生产单位或其他相关单位所从事的以下狩猎和动物捕捉活动：包括下列狩猎和捕捉动物的活动：—为动物园和供观赏等目的捕获动物的活动；—野生动物：野兔、狐狸、其他野生动物；—野生鸟类：水禽、雉鸡、野鸡、其他野生鸟类；—爬行动物：食用爬行动物、其他爬行动物；—来自猎取和捕捉活动中的兽皮和爬行动物、鸟类毛皮等的生产；—整张爬行动物皮；—整张狐生毛皮；—其他捕获野生动物和有关的服务活动。不包括：—动物园、野生动物园的活动，观赏动物的饲养，野生动物保护的活动，列入（野生动物保护）；—专门供运动和休闲的动物捕捉等有关的活动，列入（休闲健身活动）。
039,其他畜牧业包括下列其他畜牧业活动：—各种鸟类；—猫、狗等动物；—天然蜂蜜及副产品：天然蜂蜜、蜂蜡、鲜蜂王浆、其他天然蜂蜜及副产品；—蚕茧：桑蚕茧、柞蚕茧、蓖麻蚕茧、其他蚕茧；—蛙类动物：改良种用蛙苗、其他食用蛙类动物；—家兔：种用家兔、非种用家兔（毛兔、皮兔、肉兔）；—鹦形目鸟：改良种用鹦形目鸟、非种用鹦形目鸟；—驯鹿、梅花鹿、麝；—狐、貂；—其他动物毛类：兔毛、其他制刷用兽毛；—其他动物生皮；—其他动物生毛皮：整张水貂生毛皮、整张兔生毛皮、其他生毛皮；—其他畜禽产品：麝香、鹿茸、燕窝、龟蛋、其他未列明畜禽产品；—其他未列明饲养动物。不包括：—动物园、野生动物园的活动，观赏动物的饲养，野生动物保护的活动，列入（野生动物保护）。
041,水产养殖海水养殖指利用海水对各种水生动植物的养殖。包括下列海水养殖活动：—海水养殖鱼：海水养殖观赏鱼、海水养殖鲈鱼、海水养殖石斑鱼、海水养殖美国红鱼、海水养殖鲆鱼、海水养殖大黄鱼、海水养殖军曹鱼、海水养殖鰤鱼、海水养殖鲷鱼、海水养殖河鲀、海水养殖鲽鱼、其他海水养殖活鱼；—海水养殖虾：海水养殖中国对虾、海水养殖南美白对虾、海水养殖斑节对虾、海水养殖日本对虾、海水养殖龙虾、其他海水养殖海虾；—海水养殖蟹：海水养殖梭子蟹、海水养殖青蟹、其他海水养殖蟹；—海水养殖贝类：海水养殖牡蛎、海水养殖扇贝、海水养殖贻贝、海水养殖江珧、海水养殖鲍、海水养殖螺、海水养殖蚶、海水养殖蛤、海水养殖蛏、其他海水养殖贝类；—海水养殖藻类：海水养殖海带、海水养殖紫菜、海水养殖裙带菜、海水养殖江蓠、海水养殖麒麟菜、海水养殖石花菜、海水养殖羊栖菜、海水养殖苔菜、其他海水养殖藻类；—其他海水养殖产品：海水养殖海参、海水养殖海胆、海水养殖珍珠、海水养殖海蜇、其他未列明海水养殖产品；—海水养殖鱼苗：海水养殖军曹鱼苗、海水养殖鰤鱼苗、海水养殖鲷鱼苗、海水养殖大黄鱼苗、海水养殖鲆鱼苗、海水养殖鲽鱼苗、海水养殖鳎鱼苗、海水养殖鲀鱼苗、其他海水养殖鱼苗；—海水养殖虾种苗：海水养殖对虾种苗、海水养殖中国对虾种苗、海水养殖南美白对虾种苗、海水养殖斑节对虾种苗、海水养殖日本对虾种苗、海水养殖龙虾种苗、其他海水养殖海虾种苗；—海水养殖蟹苗：海水养殖梭子蟹苗、海水养殖青蟹苗、其他海水养殖蟹苗；—海水养殖贝类种苗：海水养殖牡蛎种苗、海水养殖扇贝种苗、海水养殖贻贝种苗、海水养殖江珧种苗、海水养殖鲍种苗、海水养殖螺种苗、海水养殖蚶种苗、海水养殖蛤种苗、海水养殖蛏种苗、其他海水养殖贝类种苗；—海水养殖藻类育苗：海水养殖海带苗、海水养殖紫菜苗、海水养殖裙带菜苗、海水养殖江蓠苗、海水养殖麒麟菜苗、海水养殖石花菜苗、海水养殖羊栖菜苗、海水养殖苔菜苗、其他海水养殖藻类育苗；—其他海水养殖产品种苗：海水养殖海参苗、海水养殖海胆苗、海水养殖珍珠蚌、海水养殖海蜇苗、其他未列明海水养殖产品种苗。内陆养殖指在内陆水域进行的鱼、虾、蟹、贝类等水生动物的养殖，以及水产养殖场对各种内陆水域的水生动物幼苗的繁殖。包括下列内陆养殖活动：—养殖淡水鱼：养殖淡水观赏鱼、养殖淡水鳟鱼、养殖淡水鳗鲡、养殖淡水鲤鱼、养殖淡水草鱼、养殖淡水鳙鱼（胖头鱼）、养殖淡水鲟鱼、养殖淡水罗非鱼、养殖淡水河鲀、养殖淡水青鱼、养殖淡水鲢鱼、养殖淡水鲫鱼、养殖淡水鳊鲂、养殖淡水鲶鱼、养殖淡水鮰鱼、养殖淡水黄颡鱼、养殖淡水鲑鱼、养殖淡水池沼公鱼、养殖淡水银鱼、养殖淡水短盖巨脂鲤、养殖淡水长吻鮠、养殖淡水黄鳝、养殖淡水鳜鱼、养殖淡水鲈鱼、养殖淡水乌鳢、养殖淡水泥鳅、其他养殖淡水鱼；—淡水养殖虾：淡水养殖罗氏沼虾、淡水养殖青虾、淡水养殖克氏原鳌虾、淡水养殖南美白对虾、其他淡水养殖虾；—淡水养殖蟹：淡水养殖活河蟹、其他淡水养殖蟹；—淡水养殖贝类：淡水养殖河蚌、淡水养殖螺、淡水养殖蚬、其他淡水养殖贝类、淡水养殖螺旋藻；—其他淡水养殖产品：淡水养殖龟、淡水养殖鳖、淡水养殖蛙、淡水养殖珍珠、其他未列明淡水养殖产品；—淡水养殖鱼苗：鳟鱼苗、鳗鱼苗、鲤鱼苗、草鱼鱼苗、鳙鱼鱼苗、鲟鱼苗、罗非鱼苗、鲀鱼苗、青鱼苗、鲢鱼苗、鲫鱼苗、鳊鱼苗、鲶鱼苗、鮰鱼苗、黄颡鱼苗、鲑鱼苗、池沼公鱼苗、银鱼苗、短盖巨脂鲤苗、长吻鮠苗、黄鳝苗、鳜鱼苗、鲈鱼苗、乌鳢苗、泥鳅苗、其他淡水鱼苗；—淡水养殖虾苗：罗氏沼虾苗、青虾苗、克氏原鳌虾苗、南美白对虾苗、其他淡水养殖虾苗；—淡水养殖蟹种苗：中华绒毛蟹（大闸蟹）种苗、其他淡水养殖蟹种苗；—淡水养殖贝壳种苗：河蚌种苗、螺种苗、蚬种苗、其他淡水养殖贝壳种苗；—淡水养殖藻类种苗：螺旋藻种苗、其他淡水养殖藻类种苗；—其他淡水养殖产品种苗：稚龟种苗、稚鳖种苗、幼蛙种苗、珍珠蚌种苗、其他未列明淡水养殖产品种苗。
042,水产捕捞海水捕捞指在海洋中各种鱼、虾、贝、珍珠、藻类等天然海水动植物的捕捞。包括下列海水捕捞活动：—海水捕捞鲜鱼：大黄鱼、小黄鱼、带鱼、鳓鱼、比目鱼、金枪鱼、鳕鱼、沙丁鱼、鲑鱼（海水）、大马哈鱼、角鲨、相关鲨鱼、海鳗、鳀鱼、鲳鱼、鲱鱼、石斑鱼、蓝圆鲹、白姑鱼、黄姑鱼、梅童鱼、方头鱼、玉筋鱼、梭鱼、鲻鱼、鲐鱼、鲅鱼、马面鲀、竹荚鱼、其他海水捕捞鲜鱼；—海水捕捞虾：龙虾、斑节对虾、中国对虾、日本对虾、毛虾、虾蛄、鹰爪虾、其他海水捕捞虾；—海水捕捞蟹：梭子蟹、青蟹、其他海水捕捞蟹；—海水捕捞贝类：贻贝、蛤、蚶、其他海水捕捞贝类；—海水捕捞软体水生动物：墨鱼、鱿鱼、沙蚕、其他海水捕捞软体水生动物；—其他海水捕捞产品。不包括：—除鲸以外的海洋哺乳动物的捕捞，如海象、海豹等，列入（狩猎和捕捉动物）。内陆捕捞指在内陆水域对天然鱼、虾、蟹、贝等水生动物的捕捞，以及在内陆咸水湖等水域内进行的捕捞活动。包括下列内陆捕捞活动：—捕捞淡水鱼：鳗鲡、青鱼、草鱼、鲢鱼、鳙鱼、鲤鱼、鲫鱼、鳊鲂、泥鳅、鲶鱼、鮰鱼、黄颡鱼鲑鱼（淡水）、鳟鱼、河鲀池沼公鱼、银鱼、长吻鮠、黄鳝、鳜鱼、鲈鱼、其他捕捞淡水鱼；—淡水捕捞鲜虾：罗氏沼虾、青虾、克氏螯虾（克氏原螯虾）、其他淡水捕捞鲜虾；—淡水捕捞蟹：中华绒毛蟹（大闸蟹）、其他淡水捕捞蟹；—淡水捕捞鲜软体动物：蜗牛、螺、河蚌、蚬、其他淡水捕捞鲜软体动物；—淡水捕捞螺旋藻；—其他淡水捕捞产品：丰年虫、其他未列明淡水捕捞产品。
051,农业服务业指对农业生产活动进行的各种支持性服务，但不包括各种科学技术和专业技术服务。农业机械服务指为农业生产提供农业机械并配备操作人员的活动。这些活动一般是在收费或合同基础上开展的。包括对下列农业机械服务的活动：—收费或合同基础上提供的农作物收获农业机械服务；—收费或合同基础上提供的农作物播种农业机械服务；—收费或合同基础上提供的农作物施肥、撒农药农业机械服务；—收费或合同基础上提供的田间土地整理农业机械服务；—其他收费或合同基础上提供的农业机械服务；不包括：—农村土地整理后的储备、管理，列入（其他房地产业）；—农业种植技术推广活动，列入（农业技术推广服务）；—农机技术服务，列入（农业技术推广服务）；—农业研究单位以及农业科学家提供的服务，列入（农业科学研究和试验发展）；—只提供农业机械，而不配备操作人员的活动，列入（农业机械租赁）；—农户、农场使用自己的农业机械或不使用农业机械，开展收割、播种、施肥、撒农药等活动，列入（农业）相关类别中。灌溉服务指对农业生产灌溉系统的经营与管理。包括对下列灌溉服务的活动：—农业水利灌溉系统的经营、管理。不包括：—水利工程的建设，列入（水源及供水设施工程建筑）和（河湖治理及防洪设施工程建筑）相关类别中；—水利工程的管理，列入（水资源管理）。农产品初加工服务指对各种农产品（包括天然橡胶、纺织纤维原料）进行脱水、凝固、去籽、净化、分类、晒干、剥皮、初烤、沤软或大批包装以提供初级市场的服务，以及其他农产品的初加工；其中棉花等纺织纤维原料加工指对棉纤维、短绒剥离后的棉籽以及棉花秸秆、铃壳等副产品的综合加工和利用活动。包括对下列农产品初加工服务的活动：—皮棉：细绒棉皮棉、长绒棉皮棉；—稻草、麦秸、谷壳、谷子秸、玉米秸、高粱秸、薯藤、大豆秸、花生蔓、油菜籽秆、芝麻秆、向日葵秆、棉花秆、麻秆、烟秆及其他作物茎、杆、根等农副产品的初加工；—农户的水果干制：葡萄干、杏干、梅干及李干、苹果干、龙眼干、肉、柿饼、干枣、椰子干、荔枝干、其他干制水果；—农产品初加工服务：皮棉加工服务、沤制麻加工服务、其他农产品初加工服务；—未列明的农产品初加工服务。不包括：—食品加工厂的水果干制活动，列入（水果和坚果加工）。其他农业服务指防止病虫害的活动，以及其他未列明的农业服务。包括下列其他农业服务的活动：—为种植某种农作物，促进其生长或防止病虫害的活动；—农场劳务承包人的活动；—农村土地整理服务：农田土地整理、其他农村土地整理；—与花草的种植、截枝、修整和花园的修建和维修，以及树木的整容活动有关的农业服务活动；—农业园艺服务；—其他未列明农业服务。不包括：—农村土地整理后的储备、管理，列入（其他房地产业）；—农业种植技术推广活动，列入（农业技术推广服务）、（生物技术推广服务）相关类别；—农机技术服务，列入（农业技术推广服务）；—农业研究单位以及农业科学家提供的服务，列入（农业科学研究和试验发展）；—只提供农业机械，而不配备操作人员的活动，列入（农业机械租赁）。
052,林业服务业指为林业生产服务的病虫害的防治、林地防火等各种辅助性活动。林业有害生物防治服务包括对下列林业有害生物防治服务的活动：—森林病虫、鼠、兽害防治服务。不包括：—林业科学技术推广活动，列入（农业技术推广服务）；—林木检疫、林机检测等服务，列入（质检技术服务）。森林防火服务包括对下列森林防火服务的活动：—森林防火服务。不包括：—林业科学技术推广活动，列入（农业技术推广服务）。林产品初级加工服务指对各种林产品进行去皮、打枝或去料、净化、初包装提供至贮木场或初级市场的服务。包括对下列林产品初级加工服务的活动：—木竹材林产品采集后的初级加工；—非木竹材林产品采集后的初级加工。不包括：—林业科技技术推广活动，列入（农业技术推广服务）、（生物技术推广服务）相关类别。其他林业服务包括下列其他林业服务活动：—林业机械服务；—森林管理站、木材检查站、治沙站等进行的林业服务活动；—其他未列明的林业服务。不包括：—林业科技技术推广活动，列入（农业技术推广服务）、（生物技术推广服务）相关类别；—林木检疫，林机检测等服务，列入（质检技术服务）；—林业机械技术服务，列入（农业技术推广服务）；—只提供林业机械，而不配备操作人员的活动，列入（农业机械租赁）。
053,畜牧服务业指提供牲畜繁殖、圈舍清理、畜产品生产和初级加工等服务。包括下列畜牧服务活动：—为促进牲畜繁殖、生长、增加产量以及获得畜产品的活动；—动物的配种（包括冷冻精液站、液氮站、家畜人工授精站）、牧群检验、孵坊等；—动物圈、舍清理和整治等服务；—专门提供的动物剪毛服务；—专门提供的动物挤奶服务；—家禽孵化服务；—放牧服务；—禽蛋的分级、包装服务；—其他未列明畜牧服务。不包括：—畜牧饲养技术推广服务活动，列入（农业技术推广服务）、（生物技术推广服务）相关类别；—牲畜监测、牧机监测、品种测定、饲料监测等服务活动，列入（质检技术服务）；—兽医、动物病防治，列入（兽医服务）。
054,渔业服务业指对渔业生产活动进行的各种支持性服务，包括鱼苗及鱼种场、水产良种场和水产增殖场等进行的活动。包括下列渔业服务活动：—鱼苗、鱼种培育、养殖服务：鱼病用药及鱼病防治服务，其他鱼苗、鱼种培育、养殖服务；—鱼苗及鱼种场、水产良种场和水产增殖场的管理服务；—渔业机械服务；—其他渔业服务。不包括：—水产品质量监督检验测试活动，列入（质检技术服务）；—水产养殖技术推广活动，列入（农业技术推广服务）、（生物技术推广服务）相关类别。
