"patent_id","名称","申请号","摘要"
"10083533","四倍体鱼的培育方法","CN99115264.6","四倍体鱼的培育方法涉及多倍体鱼的培育。本发明以红色鲫鱼为母本，湘江野鲤为父本，经人工授精获得F1代，选择雄性可育的F1代与F1代自交，获得F2代，在F2代中选择具有二倍染色体的大头精子与经大头精子诱导雌核倍加的卵子结合，产生异源四倍体鱼。用本发明获得的四倍体鱼遗传性状稳定且能自然繁殖，是鱼类养殖中运用细胞工程和有性杂交相结合的技术获得的特有的种质资源。$"
"10091840","一种叶轮","CN98118110.4","一种叶轮，主要是配套叶轮式增氧机中的叶轮，由轮毂、叶片和支撑板等所组成，将轮毂分解为片状，片状轮毂与叶片相连制成片件，各分解片件经组装成型。所谓分解片件一般采用注塑或金属板材制成，对大型的整体轮毂分为小单元，设备和模具投资省，生产成本低，质量保证，若局部损坏，更换十分省力方便等特点。"
"10106337","绕线轮","CN97110818.8","本发明涉及绕线轮。使手指不会接触到旋转的旋转飞轮。绕线轮本体2包含在顶端有用以安装在钓鱼竿的安装部2c的安装脚2b和设在安装脚2b的基端的绕线轮体2a。旋转飞轮3具有自由旋转地支持在绕线轮体2a的圆筒部3a，和在圆筒部3a两侧配置成隔着旋转轴的一对旋转飞轮臂3b、3c，保护臂10配置在安装部2c和旋转飞轮3之间。"
"10106901","蜂王浆的采集与保管方法以及产浆框","CN98124747.4","本发明涉及蜂王浆的采集与保管方法以及产浆框。包括框体10，框体10的上侧两端形成有搭接头12，在下部形成有许多个对称的具有弹性的插入沟14；王台条20回转自如地插接于框体10的插入沟14上；王台条20的两端形成有盖有帽21a的插入部21，王台条20的下面形成有向外凸出的引导凸部22；该引导凸部22上面连接有许多个王碗30，每个王碗30都具有在一端的带有连接沟32的的连接部34和另一端上的一体成型的连接台35和收容沟36；在王碗30的连接台35上连接有保护帽30a。根据本发明不仅能够采集没有异物等混入的被稀释的纯蜂王浆，还能够对蜂王浆原状保存、以及在不破坏其活性成份的前提下进行保管。"
"10107093","一种转基因羊的制备方法","CN98110829.6","一种转基因羊的制备方法，是一条综合体外受精，在受精卵的原核清晰时注射外源基因，用“打洞压迫法”从胚胎中取出部分胚胎细胞，再用巢式PCR技术鉴定整合胚，及使用一种羊多细胞胚胎移植器经阴道将羊多细胞胚胎移植入受体母羊子宫等一条新技术路线，使转基因羊的成功率大大提高，受孕率可达70％。"
"10109601","双轴承卷盘的卷盘本体","CN97119576.5","将钓鱼线卷绕在可旋转的卷线筒15上面的双轴承卷盘的卷盘本体，具有：框体5；和第1和第2盖体6、7；和前盖体12；和钓鱼钩卡止部13。框体5具有：配置在卷线筒15的左右的一对侧板8、9以及用以连结这两个侧板8、9的复数个连结部11。第1和第2盖体6、7装设成可包覆住各侧板8、9的侧方。"
"10118172","一种用于穿线式鱼杆的线引导架","CN97119327.4","本发明涉及一种钓鱼线引导架，该引导架把钓鱼线从线轴上引到穿线式鱼杆的内通孔。该钓鱼线引导架安装在通往穿线式鱼杆内通孔的线引导口之上，它包括前后固定部、连接部和中间支撑部。该前后固定部安装在穿线式鱼杆的外圆周表面上。该连接部与前后固定部形成为一体，连接部包括第一引导部和中间支撑部。该中间支撑部包括第二引导部。钓鱼线穿过第一引导部，第二引导部从线轴延伸到线引导口中。该连接部包括通过把连接部的两侧的至少一部分朝穿线式鱼杆向下弯曲形成的两个加强肋。"
"10129414","长线","CN97199856.6","本发明提供了由至少一根聚酰胺单丝(A)制得的长线，该聚酰胺单丝的表面上固定有至少一个圆柱形制动器(B)，其中所述制动器(B)基本上由肖氏D硬度(DIN 53505)至少为50的热塑弹性体组成。"
"10134564","用于把一种装置插入禽蛋的尿囊液体的方法","CN99809942.2","本发明介绍了用于使存在于鸟壳蛋(10)中的尿囊液体(16)汇集或确定其位置，以便该液体能被取样，评定或注入的方法。该方法包括使鸟壳蛋倾斜以便使该蛋的主轴与垂直向上的位置形成约10°至180°的角度，从而使尿囊液体汇集在蛋壳的最上面部分的下面。然后，就可以对尿囊液体进行取样，或者通过一个沿着向下的方向移动的直立的针(17)或探针把一种物质注入到尿囊液体中。"
"10134565","用于控制家禽粪便产生氨的粘土垫草产品和制造该产品的方法","CN99803761.3","本发明涉及用于控制通风较差的家禽孵化场中腐烂粪便产生的氨的含有硫酸的以粘土为基的垫草产品。生粘土与硫酸接触，制成酸化粘土，然后酸化粘土施用到家禽孵化场中的家禽繁殖地板上，其量足以为每平方英尺家禽孵化场地板提供约0.0175-0.0872磅硫酸。"
"10134873","清洁水族箱观察窗内侧的装置及方法","CN00800767.5","一种用于清洁水族箱观察窗，特别是其内侧的装置，其包括一置于水族箱观察窗(12)内侧的内部元件(1)，及一置于水族箱观察窗(12)外侧的外部元件(2)，内部和外部元件(1，2)在磁力的作用下相互吸引，以便外部元件(2)沿水族箱观察窗的运动会使内部元件(2)随其一起运动，其特征在于：置于水族箱内侧的元件(1)的结构应在一旦除去磁力时，内部元件(1)将保持漂浮在水族箱中的液体(13)上。"
"10138665","自动钓墨鱼装置","CN98107368.9","本发明的目的是使模拟鱼饵的动作与真正的小鱼动作几乎相同。为了实现这一目的，集中控制装置13在钓墨鱼机3的转筒9的每个单位周期内适当地设定高速转动区域和低速转动区域，而且设定该高速转动区域中的抖动最高速度、抖动上升速度、低速转动区域中的抖动最低速度、抖动最低速度区以及抖动下降速度，由此设定多个任意的「抖动」图形，从这些多个「抖动」图形中选择并组合任意的「抖动」图形，设定一系列的「抖动动作图形」。"
"10138749","控制钓鱼线轴中副拖曳机构的操作的致动机构的结构","CN99102346.3","钓鱼线轴制成具有设置在卷筒轴的第一端与卷筒之间以限制卷筒与卷筒轴之间的相对旋转的拖曳机构。小齿轮接触平面齿轮，以从其传输转矩至转子轴，然后至转子。副拖曳机构安装在机壳内，靠近卷筒轴的第二端，以选择性地限制卷筒轴与机壳之间的相对旋转，它与小齿轮设置在平面齿轮的同侧，以锁紧及松开卷筒轴在机壳内的旋转，以使其能作用及不能作用。与小齿轮在平面齿轮的同侧的副拖曳机构的位置容许钓鱼线轴的机壳有减小的尺寸。"
"10140428","鱼病多联单克隆抗体治疗制剂","CN00113926.6","鱼病多联单克隆抗体治疗制剂，涉及单克隆抗体制备及应用技术领域。本发明将鳗弧菌、创伤弧菌、溶藻弧菌、迟缓爱德华菌免疫小鼠，进行细胞融合，再克隆化，制备出特异性很强，且效价较高的单抗，再从以上单抗筛选出对鱼类有较高保护率的抗病菌单抗，按一定比例配制成鱼病多联单抗治疗制剂。该生物制剂对鱼病有良好的预防和治疗作用，同时不会污染环境，也不会通过食物链对人类造成危害。"
"10141386","利用地下卤水配制河蟹育苗用的海水","CN02138863.6","一种利用地下卤水配制河蟹育苗用的海水，属养殖的蟹类繁殖领域。它是利用地下卤水，适量添加MgSO<SUB>4</SUB>、KCI、CaCO<SUB>3</SUB>、KBr、NaHCO<SUB>3</SUB>的化学原料和一定量的海洋微生物，配制成与河蟹自然繁殖条件完全一致的海水，解决了过去长江中游河蟹幼苗需要远距离运输，成本高，成活率低，以及采用淡水与盐水配制的人工海水不能满足河蟹繁殖幼苗条件的问题。该组方配制的海水繁殖河蟹幼苗成活率高，幼苗适合于各类湖泊的水质放养，且配制过程简单，成本低。"
"10143328","家禽饲养机","CN97111894.9","家禽饲养机，它包括一个基本为碟状的盘，在其上设置着一根供料滴管，该滴管在盘的中央部分的上方开口。至少有一个带杆的格栅在供料滴管与盘之间延伸。设置有带杆的第二格栅，该第二格栅邻近第一格栅而安装。第一和第二格栅是可相互相对运动的。"
"10143329","耳标施加器","CN97199746.2","一种动物耳标施加器(1)具有钳口(2)，该钳口带有转动销(7)，此销可以保持一动物耳标的阳部件(50)并可将其与保持在下钳口(3)的耳标阴部件(51)结合。一旦插销(30)被释放，钳口(2)即不受手柄(4，5)约束被弹簧(16)向打开位置偏置。只有在耳标的阳和阴部件完全结合后才会发生。钳口(2)的这种独立释放及销(7)向前转动能力避免了耳标夹在施加器(1)内，尤其当动物极力挣脱时。本发明施加器还可以采用单片标签。"
"10147459","中国林蛙南移繁殖及饲养方法","CN00127316.7","一种中国林蛙南移繁殖及饲养方法，消除了林蛙只适合北方繁殖和饲养的偏见。包括种蛙的引进、林蛙产卵的繁殖、人工孵化、蝌蚪的饲养、幼蛙的喂养、越冬管理，其特征在于：对引进的蛙种，通过在南方模拟林蛙的生态环境，植树育林、营造多层的绿色生态屏障、人工遮阳网控温以及精心繁殖活饲料，在林蛙南移繁殖及饲养的环境处理、调节水质、饲料处理时配合使用有效微生物群原露，可使林蛙顺利度过存活关、生育关、饵料关、孵化关、高温关和繁殖关。中国林蛙南移规模养殖孵化率达90％，成活率≥65％。保护了生态平衡，提高了动物药材商品的供应量。该技术可用于林蛙南移的规模养殖。"
"10149117","鱼病多联免疫检测药物盒","CN00113923.1","鱼病多联免疫检测药盒，涉及单克隆抗体制备及应用技术领域。本发明将鳗弧菌、创伤弧菌、溶藻弧菌、迟缓爱德华菌免疫小鼠，进行细胞融合，再克隆化，制备出特异性很强，且效价较高的单克隆抗体，按一定比例配制成多联免疫检测药盒，能随时快捷、准确地检出各种鱼病，为鱼病的及时有效治疗提供保证。"
"10153725","卵内接种抗球虫病疫苗","CN96110384.1","本发明涉及给家禽投用疫苗以对抗球虫病的方法，包括卵内投用有效免疫剂量的活的艾美球虫子孢子或裂殖子，或其混合物。在一优选实施方案中，进行疫苗接种的家禽是鸡或火鸡。"
"10153726","卵内接种抗球虫病疫苗","CN96110383.3","本发明涉及给家禽投用疫苗以对抗球虫病的方法，包括卵内投用有效免疫剂量的活的艾美球虫孢子囊或卵囊，或其混合物。"
"10155488","对蛋同时进行注射和检测的方法和装置","CN99815436.9","一种向多个鸟蛋进行注射的方法，包括：(a)将多个鸟蛋定位在预定位置；(b)在每个蛋壳上制成一个开口；(c)通过每个开口伸出一个纵长的传送装置并使之伸入蛋中，每个传送装置包括一个检测器和一个注射针，注射针内形成有腔室；(d)用检测器检测多个蛋中的每一个蛋的内部信息；以及(e)通过所述注射针的腔室向多个蛋中的每一个蛋内注射物质。检测到的信息可用于多种目的，包括：调整注射针的穿透深度以更精确地控制注射位置，识别蛋的性别以对蛋进行后续的分类，从死蛋中区分出活蛋等。当用于控制穿透深度时，该方法能够为了任何目的而对针尖定位，包括：抽吸生物材料以及注射物质。本发明还公开了一种实施该方法的装置，特别是一种高速装置。"
"10157221","改进的动物咀嚼物","CN00107502.0","一种改进的动物咀嚼物包括一个低电压电池和多个导体，从而当动物咀嚼本发明的咀嚼物时，形成一个电路和一个微电流。该微电流对动物的牙齿和牙龈有治疗效果，作为可选，某些低浓度微量金属可释放出来，同样对动物的口腔卫生有益。另外，当咀嚼时，钙离子和/或氟化物离子可被释放出。在一替换实施例中，当咀嚼时可产生超声波从而进一步从动物牙齿和牙龈上去除牙斑。"
"10157537","改进的动物咀嚼物","CN00106214.X","由模制水果片(12)制成的动物咀嚼物(10)。在第二个实施方式中，动物咀嚼物由其中分散有水果片的模制热塑性树脂制成。在第三个实施方式中，动物咀嚼物由其中分散有水果片的淀粉制成。"
"10159395","旋转卷线器的钓线引导机构","CN01103490.4","一种旋转卷线器的钓线引导机构，是在第1旋转臂及第2旋转臂的前端上可自由地在钓线卷绕姿态与钓线开放姿态之间摆动地安装、将钓线引导至卷线筒的旋转卷线器的钓线引导机构，其特征为，具备：可自由摆动地分别安装在上述第1及第2旋转臂前端上的第1及第2吊环支持构件；一端固定在上述第1吊环支持构件上的固定轴；在上述固定轴另一端与上述第1吊环支持构件间隔设置的固定轴盖；自由转动地支持在上述固定轴上，形成可将上述钓线引导至周围面上的引导部的线辊；及，一端固定在工述第2吊环支持构件上而另一端固定在上述固定轴或上述固定轴盖至少之一上，朝着上述卷线筒周围方向外侧弯曲配置，经由上述固定轴盖将上述钓线引导至上述线辊的吊环，上述第1吊环支持构件的外围部设置在以上述外围部与预定基准点间的距离为最大的第1距离为半径的球体内部，且形成上述外围部与上述基准点间的距离朝着外侧逐渐较第1距离缩短的曲面形状。"
"10161907","水产养殖打气系统失压报警装置","CN02134782.4","一种能对水产海鲜养殖业上使用的增氧打气系统进行监测的报警装置，该失压报警装置包括报警器，报警器连接有常闭微动开关，在靠近常闭微动开关按钮的位置还安装有气囊，气囊连接有进气管，在气囊外围设有用以限定气囊位置的固定支托架。使用该报警装置时，可以将进气管与水产养殖打气系统的一个输出分支管连通。当打气系统出现异常情况时，气囊随之失压，无法顶紧常闭微动开关的按钮，使常闭微动开关闭合，因而能发出报警信号。"
"10161908","网箱网具扎制工艺","CN01142814.7","本发明提供一种网箱网具扎制工艺，包括网衣裁片、网衣合缝工艺、纲索扎结工艺，其特点是：增加的扎边工艺为：将裁好的备用网片纵、横向每边绕缝2－8目滚边，并逐目结节扎紧；纲索扎结工艺为：将纲索与大缝或缘纲边用缝线每隔一段距离用缝线扎紧，形成线箍；线箍与线箍之间的缝线从纲索下方走线，并绕着大缝或缘纲边至下一个扎结处；每隔一段距离再用特制缝合针或缝合机将缝线从纲索中穿过后，再与大缝或缘纲边结扣扎紧，至少重复2次。特殊缘纲工艺：将2－8目网衣绕缝到与网衣横向设计拉直长度等长的绳索上，并逐目结节扎紧。其编缝强度高、网衣受力均匀，网衣在风浪条件下基本不会变形和破损，网筋与网衣不易产生松动，适于深水海区应用。"
"10162626","美洲大蠊养殖方法","CN01128946.5","本发明是一种美洲大蠊养殖方法。其特征在于采用温室箱养，虫卵分离，人工孵化，孵化和饲养温度为20-30℃，湿度60％-85％，散光照射，用熟食喂养。本发明在人工控温、控湿，保证空气新鲜，足够营养，一定光照前条件下，由自然状态下生长1.5-2年，缩短为5个月左右，产卵量增加5倍以上，孵化率达60％左右，幼虫成活率达40％以上，繁殖规模按1∶10增长，疫病死亡率下降。箱式养殖便于虫卵分离，防止美洲大蠊逃逸，造成环境污染；有利于对病虫害的防治。而虫卵分离，有效地防治种群退化，提高产量，度绝虫偷吃卵。经检测，其用药成份含量比自然状态下显著提高。"
"10162627","三倍体鲫(鲤)鱼的生产方法及其设备","CN99115263.8","三倍体鲫鱼或三倍体鲤鱼的生产方法及其设备涉及多倍体鱼的培育。本发明以四倍体鱼为父本，二倍体日本白鲫或二倍体普通鲤鱼为母本，进行人工授精，受精卵均匀黏附于网片式人工鱼巢上，并悬挂在蜂巢式的鱼苗孵化器内，在22～24℃的恒温条件下，以溶氧量为5～8mg/L的微流水孵化，孵化率达90％左右，每平方米水面可生产三倍体鱼苗20万尾。用本发明生产的三倍体鲫(鲤)鱼完全不育，生长速度快，抗病力强，肉质鲜美，饲料系数低，耐低氧，具有显著的经济效益。"
"10163698","一种淡水有核再生珠的养殖方法","CN00129957.3","本发明淡水有核再生珠的养殖方法是：将养殖好的淡水河蚌育珠蚌，用手术的方法取出珍珠；然后，将另外制备好的且其直径大于从育珠蚌体内取出的珍珠的直径的珠核送入育珠蚌原有的珍珠囊中，再行养殖育珠，培育的珍珠便可成为淡水有核再生珠。本发明能够充分利用现有的淡水育珠蚌，可以对以前只能废弃的育珠蚌进行再次利用；本发明可以利用育珠蚌进行多次的插核以生产淡水有核再生珠，提高了资源的利用率，符合发展持续生产的战略。本发明可以减少培育珍珠过程中养殖母蚌的时间，并且珍珠质量好、颗粒大、市场售价高。"
"10163699","用淡水河蚌养殖珍珠的插核方法","CN00117190.9","本发明先将细胞小片紧贴在珠核上，然后用无创送核器将贴有细胞小片的珠核送入河蚌的外套膜或者内脏囊中核位上。所述的细胞小片位于珠核的前面。本发明由于采用了无创送核器将核片同送的插核法，使原本用二个动作才能完成一个插核位置的作业，变为用一个动作就可完成，手术作业方便、快捷，提高了手术的成功率。留核率、成珠率高，经济价值高、应用本发明，插核育珠留核率在80％以上，成珠率高达90％以上，经济价值比普通无核珍珠的经济价值提高十倍以上。"
"10163700","一种改进的可折叠的野生动物喂料器装置","CN00102928.2","一种可装入用于喂养包括鸟类，松鼠等野生动物的饲料的、可双向折叠的野生动物喂料器。该喂料器具有一个基本上为圆柱形、有顶端和底端的耐用的袋。该袋由挠性的、耐用的网构成，可使鸟、松鼠等栖息，并在该袋的外部任何地方吃饲料，而不会破坏该网。当用该袋的底端放置时，该喂料器可以自行站立；并且还可以从一个水平支承上悬挂下来。为了贮藏和运输，空的喂料器可折叠至其全部高度的几分之一。"
"10165764","钓墨鱼机控制装置","CN97118640.5","本发明的目的在于，提供一种能消除构成操作效率降低的主要原因的动作等待时间从而能提高操作效率进而使捕鱼量增加的钓墨鱼机控制装置。该钓墨鱼机控制装置备有：判断装置，用于判断先行的前一台钓墨鱼机与接在其后的后一台钓墨鱼机相互间的动作等待时间的差值是否超过预先设定的设定值；及控制装置，当由上述判断装置判定上述动作等待时间的差值超过预先设定的设定值时，使后一台钓墨鱼机的放线速度加快。"
"10165874","控制恒温室内温度的方法和恒温设备","CN99809644.X","本发明涉及一种控制恒温室(21)内温度的方法，在该方法中气流被引导流经该恒温室(21)，该气流的温度在一个热交换器的帮助下受到控制，并且该气流在被引入恒温室(21)之前或引入过程中，在一个第一热交换器的帮助下达到理想的温度，并且在该方法中，恒温室(21)中的气流被强迫流经一个第二热交换器，在此过程中，气流受到的任何加热或冷却作用都可以被抵消掉。本发明还涉及一种用于实施上述方法的设备。"
"10168942","用于母猪配种的公猪车","CN00813874.5","一种公猪车，用于运载一公猪经过一母猪配种区窄道，以便在配种过程中与母猪互动，其由一前部及一后部所限定，前部和后部互连在一起，以围绕一或两枢轴联接器枢转地转动，该枢轴联接器限定一设置在中线上的垂直枢轴，以使笼子能铰接着转动向左和向右，且该公猪留在笼子装置内时，行驶通过窄道上的左、右侧的转角。靠弯曲前面及后面的栏杆成弓形，来缩短该笼子的长度。前导向轮可设定成稍微朝左边或右边转向，使得倾向于引导该笼子沿窄道的一侧边或另一侧边行驶，笼子具有滚子以沿一轨道行驶并使该公猪保持靠近在一侧的母猪。该车解决了引导公猪车绕窄道内的转角通过时有困难的问题在引导绕过转角时使公猪能停留在公猪车上就位。"
"10171678","黄胫或白胫丝毛鸡新品系的培育方法及其配套应用","CN02115966.1","本发明涉及一种黄胫或白胫丝毛鸡新品系的培育方法及其配套应用，属养殖技术领域。黄胫或白胫丝毛鸡新品系的培育方法按以下步骤进行：(1)用黄胫或白胫白羽鸡种与白羽丝毛乌骨鸡杂交，生产F1代；(2)用F1代自交，生产F2代，出现黄胫或白胫白羽丝毛鸡；(3)用黄胫或白胫白羽丝毛鸡公母横交固定、选育、扩群，培育而成。黄胫或白胫丝毛鸡的应用是用白羽丝毛乌骨鸡公鸡与黄胫或白胫丝毛鸡新品系母鸡交配，其F1代雏鸡可胫色自别雌雄，公鸡胫色为黄色或白色，母鸡胫色为乌色或黑色。"
"10172297","大鲵人工繁殖方法","CN01131630.6","本发明提供一种大鲵人工繁殖方法，在创造近似于大鲵繁殖的自然环境的同时，亲体产前培育采用鲤鱼头为专用饲料，并根据产前培育到人工孵化的各个阶段的需要，控制水温和水质，采用鲤鱼脑垂体(PG)和独特的方法进行人工催产和授精。本发明不损伤大鲵亲体的身体和生理机能，可提高大鲵亲体性腺发育成熟率，使雌雄亲体性腺发育同步，可连续重复人工催产和孵化，提高受精率和孵化率。"
"10173258","饲养家禽的饲料箱","CN01807070.1","本发明揭示了一种饲养家禽的饲料箱，其包括至少一至少一安装在贮存槽上并设有分隔板和开口的主防护格栅以使家禽够得到饲料。此外，饲料箱包括一滑动地或转动地与主防护格栅连接的副格栅，该副格栅装有多个周边端头部并布置使得在副格栅相对于主格栅的至少一第一相对位置内，端头部不阻碍主防护格栅的开口，反之亦然，在副格栅相对于主格栅的至少一第二相对位置内，至少部分地阻碍一个或多个所述开口。"
"10173296","旋转卷线器之放线调节逆转装置","CN01117369.6","一种放线调节逆转装置，不论移动构件的移动量的变动为何皆可稳定地制动转子。该装置使放线调节臂与转子的钓线卷绕方向的转动连动而从钓线开放姿态回到钓线卷绕姿态。具备：移动机构具有：一端可自由转动地卡止在接近放线调节臂的摆动中心的位置上，与放线调节臂的摆动连动在第1位置与第2位置上可将另一端前后自由移动地设置在转子上的移动构件，当位于第2位置上时，朝着面向卷线器本体的转子的前部使另一端突出。转换构件在转子的卷绕方向旋转时，与移动构件的另一端接触使移动构件朝着第1位置移动。制动构件设置在卷线器本体的前部，圆周面上接触第2位置突出的移动构件另一端。"
"10180095","用麦蛾卵工厂化生产赤眼蜂工艺","CN02129344.9","本发明提供一种工厂化生产提供麦蛾卵并大规模繁殖赤眼蜂工艺，以麦蛾小粒卵为寄主，采用避光、立式饲养、漏斗式自动收蛾，一次接虫多代收集，自动旋转设备收卵去尘，气流去杂，散卵连续繁蜂，短期与长期贮蜂相结合，周年工厂化繁殖赤眼蜂。使用小粒卵可繁殖寄生田间小粒卵蜂种，拓宽应用赤眼蜂种类，且实现周年繁蜂利于充分利用人员、设备，便于大量积累蜂种。"
"10182300","建立病毒性肝炎小鼠模型的方法","CN02115980.7","本发明公开了一种建立病毒性肝炎小鼠模型的方法。该方法选择100～1000pFu量的鼠肝炎3型病毒(MHV-3)，通过注射感染不同种系近亲繁殖的BALB/CJ、C3H/HEJ和A/J纯系小鼠，并观察受感染后的小鼠的存活率和肝脏组织学变化，从而建立了暴发性肝炎、慢性肝炎和无症状小鼠这三种严重程度不一、类似人类疾病过程的病毒性肝炎小鼠模型。该模型的建立为系统研究病毒性肝炎的遗传调控、分子机理和防治措施提供了有力的工具。"
"10182338","一种人工虾塘水体有机生态调节剂及其制备方法","CN03126674.6","本发明是一种人工虾塘水体有机生态调节剂及其制备方法，它以低温豆粕和废啤酒酵母泥为原料，经酸酶法可控水解工艺，配合高温聚合和螯合反应而成；其中的有效成分含量为：总氮大于10％，总磷大于5％，类黄腐酸大于2％，游离氨基酸大于2％，可溶性蛋白质大于4％，多糖类大于3％，矿质元素大于3％，维生素大于0.1％。通过连续使用本发明的调节剂，水中的浮游植物量可维持在50～100mg/L，细菌生物量可维持在10～20mg/L，浮游动物大量繁殖，为虾的生产提供了丰富的天然饵料；提高了人工虾饲料的利用率，减少了人工虾饲料的投放量，水体的有机耗氧量始终控制在25mg/L以下。"
